240
#
3 0
4 8
5 0
201 6.22996e-12
202 7.56088
203 0
852 0.499489
853 8
854 0
489 8
490 0.676902
491 0
876 8
877 0.342807
878 0
165 0.772829
166 4.91243e-12
167 0
537 1.18491
538 4.99091e-12
539 0
711 4.14611
712 4.99835e-12
713 0
1266 3.72983
1267 5.1245e-12
1268 0
204 3.30763
205 5.19293e-12
206 0
459 4.53611e-12
460 3.26807
461 0
462 4.67444e-12
463 2.86637
464 0
426 4.64863e-12
427 5.16507
428 0
438 4.40176e-12
439 5.58014
440 0
1020 5.30652
1021 8
1022 0
1179 4.86993
1180 8
1181 0
1023 4.55166
1024 4.80736e-12
1025 0
1074 4.93845
1075 4.63472e-12
1076 0
30 2.02969
31 5.18342e-12
32 0
1068 2.45588
1069 5.21585e-12
1070 0
303 8
304 2.51811
305 0
1260 8
1261 2.12175
1262 0
309 8
310 0
311 0
993 7.63175
994 4.94077e-12
995 0
480 0.37425
481 5.08316e-12
482 0
0 0
1 0
2 0
186 -1.20317e-12
187 0.343523
188 0
435 4.43696e-12
436 2.51272
437 0
444 4.72329e-12
445 2.11654
446 0
432 4.65163e-12
433 4.39142
434 0
456 4.52965e-12
457 4.80075
458 0
84 1.37647
85 8
86 0
129 0.943449
130 8
131 0
18 2.69149
19 8
20 0
1215 3.12814
1216 8
1217 0
81 1.60531
82 5.11781e-12
83 0
327 2.88235
328 5.21995e-12
329 0
555 8
556 1.04567
557 0
90 7.2469
91 4.62892e-12
92 0
450 4.17586e-12
451 1.76809
452 0
1284 1.81505
1285 8
1286 0
231 8
232 4.03516
233 0
1137 8
1138 4.39498
1139 0
162 8
163 3.27299
164 0
789 8
790 3.62988
791 0
525 2.25374
526 8
527 0
453 4.07582e-12
454 5.94928
455 0
213 3.99909
214 8
215 0
972 3.56388
973 8
974 0
1050 4.43427
1051 8
1052 0
48 6.8482
49 4.74242e-12
50 0
189 3.63247e-12
190 1.0436
191 0
447 4.80887e-12
448 1.3823
449 0
465 4.66434e-12
466 3.62534
467 0
33 8
34 7.17616
35 0
330 8
331 6.78716
332 0
1062 5.74426
1063 8
1064 0
519 6.44521
520 4.7832e-12
521 0
570 5.29658
571 5.26055e-12
572 0
198 5.68709e-12
199 0.679774
200 0
939 8
940 1.38593
941 0
285 8
286 1.77327
287 0
429 4.55375e-12
430 4.03107
431 0
297 8
298 5.58231
299 0
1182 8
1183 5.16767
1184 0
963 8
964 6.36573
965 0
312 8
313 8
314 0
504 7.49973
505 8
506 0
999 8
1000 7.56113
1001 0
1245 6.18305
1246 8
1247 0
648 7.05525
649 8
650 0
855 6.04589
856 4.70637e-12
857 0
1224 5.65897
1225 4.56532e-12
1226 0
579 8
580 2.87147
581 0
192 3.66673e-12
193 7.1756
194 0
705 8
706 4.80386
707 0
744 8
745 5.95098
746 0
195 5.78099e-12
196 6.36442
197 0
441 5.29961e-12
442 6.78622
443 0
816 6.62187
817 8
818 0
